text,label
"I must admit I burst out laughing when I saw one reviewer compare this to LOTR. Well yes, if you exclude the dwarfs, the cast of thousands, the great special effects, the big battles, the strong characterization, the decent plot, the good acting, the classy direction and everything else. Which leaves you with the walking. And boy, does this film do walking! If Mr Piano had his way, this would probably be an uninterrupted three hours of hardcore walking through the Wisconsin countryside, but every 40 minutes or so these pesky Martians pop up for a few seconds to interrupt him before he goes for another bit of a ramble. You've never seen so much walking in a movie. If this really had a $20m budget, most of it must have gone on Mr Piano's shoes, because he had to get through plenty of pairs with all the walking he does. Which explains why there's no money left for decent effects, a decent video camera or proper actors. Honestly, it's like watching some bizarre fetish video for people with a thing about going for long walks in period costumes. Even on fast-forward, this is a looonnnggg walk.<br /><br />As for the sci-fi stuff, I think it was a mistake to put Martians in the film: they only get in the way of the walking, which is clearly much more interesting to the director than the story.<br /><br />I wonder how much Mr Piano charges to walk dogs?",0
"I never met a single person (out of hundreds) who hated this movie. Bet that anyone who votes it down is a petty saboteur, or a victim of one. This film has everything. Ask yourself, ""Are you a fan of. . . ?"" Then go see ""Laputa"".<br /><br />It's not my favorite movie, but my favorite IS directed by the same person (Hayao Miyazaki). In any case, this one ranks among my top five. And I've seen a LOT of movies.",1
"You've been fouled and beaten up in submission by my harsh statements about ""femme fatale"" / ""guns n' gals"" movies! Now comes another breed in disappointing rediscoveries: ninja movies! Many of these I've seen before, and let me tell you, they aren't all that's cracked up to be! They usually don't stick to the point. This, among all others, suffers from no originality! What's a ninja got to do with preventing a nuclear holocaust in Russia? And isn't this supposed to be a ""martial arts"" movie, too? Does plenty of gunfire sound like an incredible action movie to you? Is blood the number one reason to love this to death? Will you waste some of your hard-earned cash over a lady singing in her see-through tank top? The answers to these important questions are found in THE NINJA MISSION, which should be in the martial arts section of your video store. For even more nonsense ninja fun, try checking out those Godfrey Ho movies put out by Trans World. You get what you deserve, and that's a promise! Recommended only for hardcore ninja addicts!",0
"A River Runs Through It is based on the true story of two fly fishing brothers, Norman and Paul, (Brad Pitt and Craig Sheffer) whose Reverend father (Tom Skerritt) is a strict man whose two passions are his faith and fly fishing, - and, for him and his sons, there is a fine line between the two. This story describes the slow progression of the brothers' lives and how their lives separate on two different paths. It is a touching movie narrated by the director, Robert Redford, playing the elderly Norman and reflecting on times long gone and people long dead.<br /><br />Certain themes recur in the movie, such as memory, death, eternity, and dreams. Most of these themes revolve around the almost tragic hero of Paul. He is a capable, charming, and brave man, but has his fatal flaws.<br /><br />The closing lines sum up the ""point"" of the movie: ""Then in the Arctic half-light of the canyon, all existence fades to a being with my soul and memories and the sounds of the Big Blackfoot River and a four-count rhythm and the hope that a fish will rise. Eventually, all things merge into one, and a river runs through it. The river was cut by the world's great flood and runs over rocks from the basement of time. On some of those rocks are timeless raindrops. Under the rocks are the words, and some of the words are theirs. I am haunted by waters.""",1
"Please don't waste your time. This movie rehashes the worst of Bram Stoker's Dracula (Van Helsing), Anne Rice's Vampire Lestat (rock music and silly biblical references), and Blade (high-tech toys). I really like vampire movies and novels, and there are many out there that are very good . But not this stinker. Not even the soundtrack helps it, mostly because the movie resorts to ridiculous scary classical music rather than the ""kick-ass metal"" some reported. Only a few times did I hear any metal; mostly it was tortured violins. Avoid it like garlic and crucifixes.",0
"Bottom of the barrel, unimaginative, and practically unwatchable remake of THE ROAD WARRIOR. This film follows the exact plot as the Filipino film STRYKER and is worse by far! Bad acting, dialog, effects, dubbing, pacing, action sequences... The list goes on and on. Italy made literally dozens of Road Warrior rip-offs in the early 80's, some good, some bad. This is the worst by far, no contest. Not only was the mood of the film completely bleak and miserable, the experience of sitting through this one is a bore and a half. There was 1 (one) good chase sequence towards the beginning of the movie, and a cool shot of a man holding a hand grenade exploding. But EVERYTHING else about this movie seriously reeks! For actual post-nuke fun, go track down a copy of ENDGAME, AFTER THE FALL OF NEW YORK, or ESCAPE FROM THE BRONX instead. They're much more enjoyable than this rubbish.",0
This movie is a mess. I'm surprised it even has a theatrical release. WIthout Robin Williams it would have gone straight to video. It is poorly written. It is poorly directed. It's worse offense is that it has taken an interesting topic and reduced it to a ridiculous and BORING thriller that has no thrills and no suspense and no inner or emotional logic.Especially after the first half hour the movie dovetails into a series of ridiculous set pieces that are so over the top that the audience I saw it with was laughing at it. Save your money. The trailer is totally misleading - it is not suspenseful and there are no thrills - in fact the movie's truly worst offense is that it is simply boring.,0
"Remember the good ol' animated batman show from the 90's? The one that people praised? The one that people of all ages could all appreciate? The one that showed batman as a real detective instead of the Hulk in a bat suit? The one that had villains you could relate to? The one that had villains with real motives?<br /><br />Well clearly, Warner Bros. doesn't. Hence this dreck.<br /><br />Honestly, do these people know anything about batman? Have they even looked at a batman comic before? Do they know Batman's meant to be a 'detective'? Putting together 2 clues does not make you a detective! That makes you a slightly intelligent monkey!<br /><br />This is the basic layout for an episode:<br /><br />Penguin steals something. 'Opening credits'. Batman finds dead giveaway of where he is. Batman goes there and get's into trouble. Commercial. Batman finds obvious/ stupid way out of it. Penguin escapes. Penguin does something obvious again. Batman follows. They do kung-fu (by the way everyone, and i mean EVERYONE know's kung-fu for some reason). Batman punch's penguin. he get's knocked out. goes to arkham. (Note: it's usually a different villain every episode)<br /><br />Well as you may have noticed from that, Batman's not a great detective. ""Joker left this piece of cotton candy on the ground, maybe he's at the old amusement park""! Yeah maybe, he was there the last 6 times.<br /><br />And I've already mentioned this but, EVERYONE KNOWS KUNG-FU! EVEN PENGUIN! what where they thinking? (probably because it's from the people who made that Jackie Chan animated series)<br /><br />What's really upsetting is that the show is just action. No smarts. None. If batman needs think, he'll use technology, then do some kung-fu.<br /><br />But hey, let's not forget the villains. Afterall, what would batman be without his rogues gallery?<br /><br />Well first off, I gotta say, kudos for originality. I don't think other batman media would have envisioned joker and a dread-locked monkey man, riddler like an emo, and poison ivy as a minor (which is kind of confusing when you think about, isn't her sexuality meant to be her main strength?)<br /><br />What's even more crap however is that, every character is now a 2-Dimensional, stereotypical crook.<br /><br />E.G.<br /><br />Killer Croc wants to flood Gotham for no reason.<br /><br />Man-Bat is a power hungry mad scientist who is obsessed with bats for some unexplained reason.<br /><br />Penguin just wants to steal everything. For no reason.<br /><br />noticing a pattern here?<br /><br />But the most insulting has got to be Mr Freeze.<br /><br />Do you remember the Emmy award winning 'Heart of Ice' episode from Batman: The Animated Series? The one that gave Mr Freeze motives for his crimes? The episode that was so good that it was used in the comics over his original back story (mad scientist)? The one that made him a victim, with a goal? Hell, even Batman & Robin acknowledged that, using that as Mr Freezes origin in that P.O.S. movie.<br /><br />Well this series says ""F#ck that"" and makes Mr Freeze a jewelry robber before his accident, with only wealth in his mind, then gets frozen and gives him the power to make things cold. He then continues to steal jewels for no reason, while saying sh!t lines like ""Have an ice day"".<br /><br />Maybe they did watch Batman &Robin after all.<br /><br />But hey, look on the bright side. This series makes you feel nothing for the villains so that means that you're a good person. Good for you.",0
"I've been looking for the name of this film for years. I was 14 when I believe it was aired on TV in 1983. All I can remember was it was about a teenaged girl, alone, having survived a plane crash AND surviving the Amazon. I remember people were looking for her(family) and that she knew how to take care of herself---she narrates the story and I vividly remember about her knowing that bugs were under her skin. I don't remember much else about this movie, and want to see it again--if this IS the same one--and if any of you have a copy, could you email me at horsecoach4hire@hotmail.com? I'd be curious to attain a copy to see if it is in fact the same film I remember. It was aired on Thanksgiving(US) in 1983, and I was going through problems of my own and this film really impacted heavily on me. Thanks in advance!",1
"This movie is utterly hilarious. Its cast clicks immediately with frame one and takes us on a wonderful ride through spoofing gangster films. The conflict of brother vs. brother appears when Johnny's brother becomes a do-gooder D.A. However, the best character is Johnny's crimelord rival, the overly accented Moroni. As Johnny says ""That man should be arrested for butchering the English language.""<br /><br />Check it out on video. It's worth a look.",1
"A film without conscience. Drifter agrees to kill a man for a mobster for money. Then they double cross him. Meanwhile he falls in love with the dead man's wife, and, without her knowing he's the killer, moves in with her. Then he ""accidentally"" kills her when she finds out. Then, in a WALKING TALL kind of heroism, he gets revenge on the mobsters who double crossed him. The first problem is that, by agreeing to take on the murder by hire assignment, the drifter loses all sense of sympathy, worthiness, and heroism. We can't accept any goodness in him and as a result the rest of the has no moral center. We just can't care about that kind of guy. And the wife (nicely played by the fetching Kari Wuhrer - the sheriff in EIGHT LEGGED FREAKS), a high class lady who runs a mission for homeless people, similarly loses a degree of sympathy by jumping right into bed with the homeless drifter (despite her evidently weakened state after the death of her husband). And, when she finds out he's the guy  what does she do? She locks him inside her house (as if ALL houses had locks you can't open from INSIDE) with her and proceeds to berate him. Stoo-pid. George Wendt, however, is terrific in a role as a beefy thug. Director Stuart Gordon did so much better with RE-ANIMATOR and DAGON.",0
"I first saw Martin's Day when I was just 10 years old, at home, on The Movie Channel, and still remember the impact it made on my life. It touched me as no other film had touched me, and I remember balling my eyes out.<br /><br />After the first time I saw it, I couldn't find it anywhere else. I would ask around and no one had ever heard of the film! I guess it was one of those more rare films that not many people knew about, because no one, and I mean no one, knew what I was talking about. I searched and searched throughout the years, checking video stores shelves and scanning cable TV listings, but always came up short. Finally, in 1996 I found out I could special order it, I did, and have probably watched it at least 50 times since--and it still makes me cry, every time.<br /><br />Martin's Day is about Martin Steckert, a man who is in prison (but genuinely a good guy), who yearns to make it back to the special lake where he grew up as boy. This was a special place, where he lived off nature, spent time with his dog, and was left alone to enjoy life. Soon into the movie, he escapes and starts making his way back to the lake.<br /><br />It isn't long before the cops find him, and Steckert grabs a child as a hostage to convince the police to back off. Soon Steckert and his hostage (the 2nd Martin) become best friends, and have many fun adventures together--from robbing a toy truck, to hi-jacking a train, all on the way to this special lake.<br /><br />Throughout the movie, Steckert has great flashbacks of him at the lake as a boy.<br /><br />I won't ruin the ending for you, but I will tell you, this movie is a must see. It is the BEST movie I have EVER seen in my life! I am, without a doubt, the biggest fan of this movie EVER! I managed to find the song that the two Martin's are singing throughout the movie (""I'm going back, to where I come from...). I'm even planning a trip to Canada to see the lake and cottage where Martin's Day was filmed. Crazy, I know--but that movie just means so much to me.",1
"""Cavemen"" exceeded my expectations, and not in a good way. It was even worse than I thought it would be. Basically, here's the show: The Cavemen are an alternate race, they face prejudice, etc. Quite possibly the stupidest idea ever created; almost being worthy of jail time for the writers. One show featured the cavemen going into a club, trying to pick up girls, and then nothing else happened. It was reminiscent of listening to a 22 minute Andy Rooney dialog, followed by death by steak knives via midget cannibals. For those who have not seen this show, here's an example of the dialog: ""You're sure you're okay with going out with a caveman."" ""Yeah, that's fine. I've had like 10 - thousand!"" Hilarious... Possibly the best writing I've ever witnessed.<br /><br />22 minutes of cavemen with horrible makeup, tackling tough social issues... Sounds like an entertaining night. I also love how bad the recent ideas are that they're resorted to making a sitcom out of car insurance commercials. I wonder if they'll do the Gecko next, so that I can have a new title for the worst show I've ever seen. I would even say that this is worse than ""Viva Laughlin."" At least ""Viva Laughlin"" was ripped off from something that was somewhat inspired.<br /><br />Shows like this make me hope that there's a comet up there somewhere aimed for Earth.<br /><br />(Unratable honestly...)",0
"I admit that I am a vampire addict: I have seen so many vampire movies I have lost count and this one is definitely in the top ten. I was very impressed by the original John Carpenter's Vampires and when I descovered there was a sequel I went straight out and bought it. This movie does not obey quite the same rules as the first, and it is not quite so dark, but it is close enough and I felt that it built nicely on the original.<br /><br />Jon Bon Jovi was very good as Derek Bliss: his performance was likeable and yet hard enough for the viewer to believe that he might actually be able to survive in the world in which he lives. One of my favourite parts was just after he meets Zoey and wanders into the bathroom of the diner to check to see if she is more than she seems. His comments are beautifully irreverant and yet emminently practical which contrast well with the rest of the scene as it unfolds.<br /><br />The other cast members were also well chosen and they knitted nicely to produce an entertaining and original film. It is not simply a rehash of the first movie and it has grown in a similar way to the way Fright Night II grew out of Fright Night. There are different elements which make it a fresh movie with a similar theme.<br /><br />If you like vampire movies I would recommend this one. If you prefer your films less bloody then choose something else.",1
"Have I seen a worse movie? Perhaps only ""Manos: The Hands of Fate"" dragged more than ""Dukes"". I had more fun poking at the gigantic plot holes than the movie gave me at any point. Let's touch on a few...<br /><br />There was a noticeable script death and rebirth when Sheev is talking to the Dukes and they don't respond. He shrugs and moves on, since neither the Knoxville or Scott know what he's talking about (nor do we). It was like the engine died and was restarted.<br /><br />The few times the General Lee flew through the air weren't even that exciting. Nothing I haven't seen on the TV Series.<br /><br />Very little chemistry between Knoxville and Scott. The best part was when Bo is upset at Luke for stealing the girl he liked. The only reason this works is that the script actually forshadowed it (although roughly). The rest of the time it seems distant and forced.<br /><br />Seann William Scott's awful, horrendous accent (or lack thereof).<br /><br />I hated Willie Nelson's performance. Were bad jokes supposed to be endearing? I wanted him to disappear.<br /><br />Jessica Simpson comes across splendidly on the big screen. She actually felt like one of the better actors in the film. That's telling you how horrible this movie is. She's a goddess.<br /><br />During the climax of the film, I was rooting for Boss Hogg and the bad guys to flatten all of Hazzard County, starting with Willie Nelson and his accomplices. A nuclear bomb would have sufficed.<br /><br />This is not meant to be a coherent dismantling of the film, but a release of frustration at the abysmal writing and execution of what could have been a truly heartwarming film.<br /><br />If only we could erase and start over...",0
"The first part, Che in Cuba, is about that portion of his life. It contains too many indistinguishable battles and Che ministering to too many indistinguishable wounded (remember that Che was a physician). It ends as Castro wins the revolution; Che never gets to Havana. The second part, Che in Bolivia, is about guess what. It contains too many indistinguishable battles and Che ministering to too many indistinguishable wounded.<br /><br />When I realized this was supposed to be an ""epic"" (I never knew *anything* but the title before it started), I naturally thought of the greatest epic of them all, David Lean's Lawrence of Arabia. More of that later.<br /><br />Not to be a racist, but aside from what I've already mentioned is the fact that there are too many characters who are, well, indistinguishable -- unknown Hispanic actors who look alike, especially considering they all wear ""Che"" beards and all wear Che fatigues. This results in the viewer not being able to identify with anyone other than Che, Benicio del Toro (even Fidel has a very minor role). While del Toro's terrific, think of ""Lawrence"" with Peter O'Toole as the only discernible character: no Alec Guinness, no Omar Sharif, no Anthony Quinn, etc. You get the idea.<br /><br />Because the other characters are interchangeable, this results in a loss of reference. When top aides of Che are killed, you feel no remorse since you don't know who they are. Even when Che is killed (I don't think that's a spoiler), there's no empathy from the audience -- he's just killed.<br /><br />He's too one-dimensional to relate to as a human being. Aside from being a revolutionary and second only to Jesus in moral rectitude, the only thing we learn about Che is that he's married with five children (he tells another character that near the end). What was his motivation? A complete enigma.<br /><br />Maybe Soderbergh is purposely aping Lean. Like Soderbergh's Che, Lean never lets us know anything about Lawrence, the mystery man of Arabia. But at least Lawrence had a friend (Sharif) and associates (Guinness, Quinn). He was as courageous as he was insecure -- i.e., had human qualities. Che is like a machine, about as warm as The Terminator.<br /><br />Earlier this year there was another war epic, Mongol. Che makes Mongol look like It's a Wonderful Life.",0
